HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0500,19,1.010526316,1.105263158,0.157894737,0,0.010526316,0.947368421,1.073684211,0.736842105,0.368421053,0.473684211,12.088
Y0501,6,1.1,1.666666667,0.166666667,0,0.083333333,0.5,2.45,0.5,0.5,0.333333333,14.118
Y0502,17,1.117647059,1,0.176470588,0,0.058823529,1.058823529,0.588235294,0.705882353,0.235294118,0.529411765,11.971
Y0503,12,1.016666667,1.166666667,0,0,0.016666667,0.916666667,1.7,0.833333333,0.5,0.5,13.68
Y0504,20,1.06,1.1,0.15,0,0.01,0.95,1.02,0.75,0.3,0.5,11.644
Y0506,9,1.122222222,1.222222222,0.111111111,0.011111111,0.022222222,1,1.377777778,0.766666667,0.288888889,0.6,13.986
Y0507,16,1.2125,1.125,0.0625,0,0.0125,1.3125,0.9,0.8125,0.4375,0.5,11.674
Y0509,6,1.533333333,1.333333333,0.166666667,0,0.2,1,1.4,0.5,0.333333333,0.5,13.185
Y0510,7,1.128571429,1,0,0.014285714,0,1.571428571,0.571428571,0.842857143,0.371428571,0.628571429,12.833
Y0511,8,1.175,1.2625,0.1,0.0125,0.025,1,1.6,0.7625,0.45,0.425,12.924
Y0512,6,1.5,1,0.166666667,0,0,1.333333333,0.333333333,0.666666667,0.333333333,0.5,12.073
Y0513,8,1.25,1.2625,0.1,0.0125,0.125,1,1.3,0.6375,0.575,0.3,13.091
Y0514,10,1.2,1,0,0,0,1.2,0.8,0.9,0.3,0.7,13.047
Y0515,16,1.2,1.125,0.125,0,0.075,0.9375,1.15,0.6875,0.375,0.4375,12.088
Y0535,10,1.52,1,0.2,0,0.21,1.21,0.39,0.49,0.5,0.2,8.425
Y0537,6,1.2,1.016666667,0.133333333,0.016666667,0.016666667,1.183333333,0.716666667,0.833333333,0.266666667,0.566666667,10.584
Y0539,9,1.577777778,1.222222222,0.111111111,0.111111111,0.133333333,1.444444444,0.933333333,0.555555556,0.555555556,0.333333333,8.056
Y0541,11,1.563636364,1,0.181818182,0.181818182,0.090909091,1.545454545,0.181818182,0.545454545,0.427272727,0.390909091,7.966
Y0542,8,1.65,1.25,0.125,0,0.275,1.375,1.05,0.5,0.5,0.375,8.056
Y0545,20,1.53,1.2,0.05,0.1,0.125,1.3,1.035,0.6,0.55,0.35,8.056
Y0547,12,1.75,1.166666667,0.166666667,0.166666667,0.166666667,1.25,0.75,0.333333333,0.666666667,0.166666667,7.966
Y0551,7,1.442857143,1,0.142857143,0.014285714,0.157142857,1.014285714,0.842857143,0.4,0.657142857,0.2,5.979
Y0552,5,1.8,1.4,0,0.2,0.2,1.2,1.8,0.2,0.8,0.2,6.049
Y0572,7,1.314285714,1,0.285714286,0,0.157142857,1.3,0.271428571,0.557142857,0.428571429,0.285714286,10.366
Y0578,12,1.283333333,1.166666667,0.25,0,0.108333333,0.925,1.025,0.491666667,0.416666667,0.333333333,9.696
Y0579,5,1.42,1.02,0.16,0,0.2,1.4,0.48,0.64,0.6,0.2,9.748
Y0581,12,1.633333333,1.175,0.166666667,0.166666667,0.091666667,1.2,0.8,0.4,0.608333333,0.208333333,7.157
Y0591,9,1.144444444,1.222222222,0.111111111,0.011111111,0.033333333,1.011111111,1.366666667,0.755555556,0.288888889,0.6,15.962
Y0592,14,1.064285714,1,0.285714286,0.007142857,0,1,0.714285714,0.707142857,0.328571429,0.385714286,16.045
Y0596,9,1.333333333,1,0,0,0.111111111,1.444444444,0.666666667,0.888888889,0.444444444,0.444444444,10.106
Y0599,11,1.745454545,1.181818182,0.181818182,0.181818182,0.181818182,1.181818182,0.818181818,0.363636364,0.609090909,0.209090909,8.056
Y0600,9,1.8,1.444444444,0,0.222222222,0.222222222,1.444444444,1,0.444444444,0.633333333,0.255555556,8.056
Y0604,13,1.569230769,1.153846154,0.230769231,0.076923077,0.169230769,1.230769231,0.8,0.461538462,0.461538462,0.307692308,8.569
Y0605,6,1.566666667,1.666666667,0,0,0.366666667,1.333333333,1.733333333,0.5,0.616666667,0.383333333,8.116
Y0606,10,1.75,1.41,0.08,0.2,0.22,1.3,1.28,0.42,0.67,0.23,8.056
Y0608,7,1.7,1,0.142857143,0.014285714,0.285714286,1.428571429,0.571428571,0.557142857,0.657142857,0.2,8.569
Y0609,6,1.583333333,1,0.333333333,0,0.166666667,1.333333333,0,0.5,0.283333333,0.383333333,8.846
Y0631,7,1.428571429,1,0.142857143,0,0.142857143,1.285714286,0.571428571,0.714285714,0.428571429,0.428571429,9.327
